Total number of words: 30006
Word frequencies:
11: 1
14: 1
1905: 1
26: 1
32: 1
36: 1
38: 1
51: 1
76: 1
93: 1
a: 726
abed: 1
abels: 1
abject: 1
able: 2
abode: 1
about: 52
above: 7
abrahams: 1
abroad: 2
abstinence: 1
absurd: 1
abundance: 1
abyss: 1
accommodate: 1
accompanied: 3
account: 4
accuracy: 1
accusatory: 1
accustomed: 2
ache: 1
achieved: 1
acquaintance: 1
acquainted: 1
across: 4
act: 3
acted: 1
action: 2
actions: 1
active: 1
adamant: 1
adapted: 1
add: 1
added: 3
address: 1
addressed: 3
addressing: 1
adjoining: 1
adjusted: 2
adjustment: 1
administered: 1
administrator: 1
admiration: 3
admit: 1
admitted: 1
advance: 1
advanced: 3
advantage: 1
adventure: 1
adversary: 1
affability: 1
affairs: 1
affection: 1
affectionate: 1
affects: 1
afford: 1
afforded: 1
affront: 1
afraid: 7
after: 23
afternoon: 10
afterwards: 4
again: 49
against: 10
age: 3
aged: 1
ages: 1
agility: 1
agitated: 2
agitation: 1
ago: 5
agonised: 1
agony: 1
agreeable: 1
ah: 6
aim: 2
air: 18
alarm: 1
alarming: 2
alas: 1
aldermen: 1
alfred: 2
ali: 6
alike: 1
alive: 5
all: 136
alleys: 1
allow: 2
allowed: 3
almonds: 1
almost: 3
almshouse: 1
alone: 13
along: 9
alphabet: 1
already: 3
also: 7
altar: 1
alteration: 2
altered: 2
although: 7
altogether: 1
always: 18
am: 46
amazed: 1
amends: 2
americans: 1
among: 16
amongst: 2
ample: 1
an: 83
ancestors: 1
ancient: 5
and: 1082
angel: 1
angelic: 1
angels: 1
angry: 5
animal: 5
ankle: 2
announced: 1
announcement: 1
anonymous: 1
another: 35
answer: 9
answered: 9
answering: 1
antique: 1
anxious: 2
anxiously: 1
any: 42
anybody: 6
anything: 18
anyway: 1
anywhere: 1
apart: 3
apoplectic: 1
apostles: 1
appalled: 1
appalling: 1
apparel: 1
apparently: 1
apparition: 2
appealing: 1
appear: 1
appearance: 3
appearances: 1
appeared: 14
appearing: 2
appetite: 2
applauded: 1
apple: 2
apples: 3
applied: 1
apply: 3
appraised: 1
apprehensive: 1
apprentice: 1
apprenticed: 1
apprentices: 1
approach: 2
approached: 2
appropriate: 1
approving: 1
aprons: 1
archways: 1
are: 61
arm: 8
arms: 6
aromatic: 1
arose: 1
array: 1
arrival: 1
arrived: 1
artful: 2
artifice: 1
artificial: 1
artist: 1
as: 235
ashamed: 1
aside: 3
ask: 6
asked: 21
asleep: 2
aspirations: 1
ass: 2
assembled: 2
assembling: 1
assign: 1
assigned: 1
assist: 2
assisted: 1
associated: 2
assure: 4
assured: 1
astonish: 1
astonished: 1
astonishment: 3
at: 157
ate: 1
atmosphere: 2
atom: 1
atoms: 1
attach: 1
attached: 2
attendant: 2
attended: 1
attention: 2
attentively: 1
attire: 1
attired: 1
attitude: 4
attract: 1
attractive: 2
aught: 1
aunts: 1
authority: 1
avarice: 2
avoid: 1
awake: 1
awaking: 1
away: 21
awful: 3
awhile: 1
awkwardly: 1
awoke: 2
axe: 1
baba: 6
baby: 5
bachelor: 1
back: 28
backs: 1
backward: 1
bad: 8
bade: 3
badly: 1
bag: 1
bags: 1
bah: 2
baker: 6
bakers: 2
baking: 1
balancing: 1
baleful: 1
ball: 3
balustrades: 1
bandage: 2
bang: 1
banker: 1
bar: 1
bare: 5
bared: 1
barely: 1
bareness: 1
barer: 1
bargain: 2
barred: 2
barrels: 1
barren: 1
base: 1
basin: 1
baskets: 3
basking: 1
bass: 1
battle: 1
battled: 1
be: 145
beaming: 2
bear: 8
bearers: 1
bearing: 1
beat: 4
beaten: 1
beating: 1
beautiful: 2
became: 10
because: 12
beckoned: 1
become: 3
becoming: 2
bed: 27
bedight: 1
bedlam: 1
bedpost: 2
bedroom: 2
beds: 3
beef: 2
been: 71
beer: 1
beetling: 1
before: 58
beforehand: 1
began: 8
beggars: 3
begged: 3
begin: 2
beginning: 1
begins: 1
beguiled: 1
begun: 2
behave: 1
beheld: 2
behind: 17
behindhand: 1
behold: 2
being: 36
beings: 2
belief: 1
believe: 18
believed: 3
